nama,bintang,daerah,kota,wifi,spa,restaurant,kolam_renang,bar,harga,rating,fasilitas,cluster
Imperium Hotel Bandung,3,Cicendo,Bandung,1,0,1,1,0,164463,6.8,3,2
Aston Pasteur,4,Sukajadi,Bandung,1,0,1,1,1,578000,8.8,4,1
POP! Hotel Bandung Festival CityLink - Bandung,2,Bojongloa Kaler,Bandung,1,0,0,1,0,349380,8.2,2,3
Grand Tjokro Bandung,4,Coblong,Bandung,1,1,1,1,1,734786,8.8,5,1
eL Hotel Royale Bandung,4,Sumur Bandung,Bandung,1,1,1,0,1,479338,8.9,4,1
Yello Hotel Paskal Bandung,3,Andir,Bandung,1,0,1,1,0,403305,9.4,3,2
The Papandayan Hotel,5,Lengkong,Bandung,1,1,1,1,1,739500,9.6,5,1
Novena Hotel Bandung,3,Lembang,Bandung,1,0,1,1,0,482826,8.9,3,2
De Paviljoen Bandung By HIM,4,Bandung Wetan,Bandung,1,1,1,1,1,616363,9.1,5,1
FOX Harris Lite Hotel Metro Indah,3,Buahbatu,Bandung,1,1,1,0,0,367768,8.7,3,2
de Braga by Artotel,4,Sumur Bandung,Bandung,1,1,1,1,1,652905,9.1,5,1
THE 1O1 Bandung Dago,4,Bandung Wetan,Bandung,1,1,1,0,1,413223,8.9,4,1
Atlantic City Hotel,3,Cicendo,Bandung,1,1,1,0,1,318967,8.4,4,2
HARRIS Hotel & Conventions Ciumbuleuit Bandung,4,Cidadap,Bandung,1,1,1,1,1,516528,9.0,5,1
Tamansari Panoramic,2,Arcamanik,Bandung,1,0,1,1,1,119421,7.6,4,2
Ibis Budget Bandung Asia Afrika,2,Lengkong,Bandung,1,0,1,0,0,288000,8.8,2,3
The Salis Hotel Setiabudi,3,Cidadap,Bandung,1,0,1,0,0,206612,8.4,2,3
V Hotel & Residence,3,Sukajadi,Bandung,1,1,1,1,0,246281,8.2,4,2
Clove Garden Hotel & Residences,4,Cimenyan,Bandung,1,0,1,1,0,392561,8.2,3,2
Airy Eco Raya Lembang 51 Bandung,2,Lembang,Bandung,1,0,0,0,0,155603,9.1,1,3
Meize Hotel Bandung,3,Sumur Bandung,Bandung,1,1,0,0,0,237190,8.4,2,3
RedDoorz Plus @ Cihampelas 3,2,Coblong,Bandung,1,1,0,1,0,157024,8.0,3,2
favehotel Premier Cihampelas,3,Coblong,Bandung,1,1,1,1,0,368000,8.2,4,2
Aryaduta Bandung,4,Bandung Wetan,Bandung,1,0,1,1,1,737396,9.1,4,1
Grand Cordela Hotel Bandung,3,Cinambo,Bandung,1,1,1,1,1,289256,8.7,5,1
Swiss-Belresort Dago Heritage,4,Dago,Bandung,1,0,1,1,1,818181,9.5,4,1
The Valley Resort Hotel,4,Cimenyan,Bandung,1,1,1,1,1,520661,9.3,5,1
Grand Asrilia Hotel Convention & Restaurant,4,Lengkong,Bandung,1,0,1,1,1,351240,8.5,4,1
Kedaton Hotel,3,Sumur Bandung,Bandung,1,1,1,1,1,372398,8.8,5,1
Best Western Premier La Grande,4,Sumur Bandung,Bandung,1,1,1,1,1,587272,9.0,5,1
Tebu Hotel Bandung,3,Riau,Bandung,1,0,1,0,0,345455,8.6,2,3
El Cavana Hotel,3,Andir,Bandung,1,1,1,1,1,399360,8.3,5,1
Grandia Hotel Bandung,4,Bandung Wetan,Bandung,1,1,1,1,1,483174,8.6,5,1
Hotel Savoy Homann,4,Lengkong,Bandung,1,1,1,1,1,540909,9.1,5,1
Aston Tropicana,4,Coblong,Bandung,1,1,1,1,1,848000,8.7,5,1
Grand Sovia Hotel,3,Cicendo,Bandung,1,1,1,1,1,378512,8.3,5,1
The Luxton Bandung,4,Bandung Wetan,Bandung,1,1,1,1,1,619834,8.6,5,1
GH Universal Hotel,5,Cidadap,Bandung,1,1,1,1,1,1030992,8.8,5,1
Zest Hotel Sukajadi Bandung,3,Sukajadi,Bandung,1,0,1,0,0,290347,9.0,2,3
Sudirman Suite,3,Andir,Bandung,1,0,1,1,1,196281,8.2,4,2
Shakti Hotel Bandung,4,Soekarno Hatta Bypass,Bandung,1,1,1,1,0,338842,8.4,4,1
Grand Mercure Bandung Setiabudi,5,Cidadap,Bandung,1,1,1,1,1,829710,9.4,5,1
The Green Forest Resort,4,Parongpong,Bandung,1,0,1,1,1,473514,8.6,4,1
Marbella Hotel Dago Bandung,4,Cimenyan,Bandung,1,1,1,1,1,432024,8.2,5,1
favehotel Hyper Square Bandung,3,Andir,Bandung,1,1,1,0,0,348000,8.2,3,2
Sensa Hotel,4,Cihampelas,Bandung,1,1,1,1,1,667769,10.0,5,1
Prama Grand Preanger Bandung,5,Sumur Bandung,Bandung,1,0,1,1,1,641710,9.0,4,1
Holiday Inn Pasteur Bandung,4,Sukajadi,Bandung,1,1,1,1,1,583538,9.0,5,1
The Jayakarta Bandung Boutique Suite Hotel & Spa,4,Coblong,Bandung,1,1,1,1,1,451239,8.4,5,1
Hay Bandung,4,Riau,Bandung,1,0,1,0,1,386364,8.6,3,2
Travello Hotel Bandung,4,Cidadap,Bandung,1,1,1,1,1,454545,8.9,5,1
Vio Hotel Pasteur,2,Sukajadi,Bandung,1,0,0,0,0,289256,8.5,1,3
Bali World Hotel,3,Buahbatu,Bandung,1,1,1,1,1,297521,7.8,5,1
Ciwidey Valley Resort Hot Spring Waterpark,3,Rancabali,Bandung,1,0,1,1,0,661157,8.9,3,2
Aston Braga Hotel & Residence Bandung,4,Sumur Bandung,Bandung,1,1,1,1,1,558512,8.8,5,1
Villa Diamond,0,Parongpong,Bandung,1,0,0,0,0,165289,8.4,1,4
Hotel Citradream Bandung,2,Cicendo,Bandung,1,0,1,0,0,245454,8.6,2,3
Simply Valore Hotel,3,Cimahi,Bandung,1,0,1,1,1,247107,7.8,4,2
Art Deco Luxury Hotel & Residence,4,Cidadap,Bandung,1,1,1,1,1,661157,9.0,5,1
Ibis Styles Bandung Braga,3,Sumur Bandung,Bandung,1,1,1,1,1,490900,9.2,5,1
Vio Westhoff,2,Cicendo,Bandung,1,0,0,0,0,231404,8.4,1,3
Mutiara Hotel Bandung,3,Cicendo,Bandung,1,0,1,1,0,265151,8.6,3,2
FOX HARRIS City Center Bandung,4,Sumur Bandung,Bandung,1,1,1,1,1,463223,8.7,5,1
Garden Permata Hotel,4,Sukajadi,Bandung,1,1,1,1,1,791279,8.6,5,1
Zodiak @Asia Afrika Hotel,2,Regol,Bandung,1,0,1,0,0,268595,8.1,2,3
Ibis Bandung Pasteur,3,Sukajadi,Bandung,1,0,1,0,1,380165,8.8,3,2
Geary Hotel Bandung,3,Cicendo,Bandung,1,0,1,0,0,322314,9.0,2,3
PRIME PARK Hotel Bandung,4,Cibeunying Kaler,Bandung,1,1,1,1,1,454545,8.7,5,1
Hotel Nyland Pasteur,3,Cicendo,Bandung,1,0,1,1,0,291529,8.1,3,2
Gino Feruci Braga,4,Sumur Bandung,Bandung,1,1,1,1,1,428512,7.7,5,1
Hotel Dafam Rio,3,Sumur Bandung,Bandung,1,1,1,0,0,278117,8.6,3,2
New Sany Rosa Hotel,3,Cidadap,Bandung,1,1,1,1,0,403957,8.5,4,2
West Point Hotel,4,Andir,Bandung,1,1,1,1,1,471074,8.9,5,1
Grand Aquila Hotel,5,Sukajadi,Bandung,1,1,1,1,1,626446,9.2,5,1
Serela Cihampelas Hotel,3,Coblong,Bandung,1,1,1,0,1,433884,8.4,4,2
Grand Tebu Hotel,4,Bandung Wetan,Bandung,1,0,1,1,0,601653,8.8,3,2
Zodiak @Kebon Kawung,2,Cicendo,Bandung,1,1,1,0,1,241736,8.0,4,2
The Suites Metro Apartment By Yudis,3,Buahbatu,Bandung,0,1,1,1,1,153719,8.3,4,2
De'Rain Hotel Bandung,3,Lengkong,Bandung,1,1,1,0,0,318182,8.7,3,2
